name,city,state,location_type,job_title,source_name,year,ad_id,city_state,lon,lat,ma_popup
Abby W. Follansbee,Newburyport,MA,Home,Dressmaker,Newburyport Morning Herald,1837,Follansbee,"Newburyport, MA",-70.87727215615267,42.812590947231584,"<b> Abby W. Follansbee </b> <br> 1837 <br> Dressmaker <br> Newburyport, MA <br> Newburyport Morning Herald"
Mrs. Flint,Northampton,MA,NA,Milliner; Mantua-Maker; apprentices,Hampshire Gazette,1831,Flint,"Northampton, MA",-72.64120455605482,42.32508934062602,"<b> Mrs. Flint </b> <br> 1831 <br> Milliner; Mantua-Maker; apprentices <br> Northampton, MA <br> Hampshire Gazette"
Sophronia Lyman,Lowell,MA,Store,Milliner; dressmaker,Middlesex Telegraph and Manufacturers' and Farmers' Advocate,1832,Lyman,"Lowell, MA",-71.31617597757545,42.63342379024919,"<b> Sophronia Lyman </b> <br> 1832 <br> Milliner; dressmaker <br> Lowell, MA <br> Middlesex Telegraph and Manufacturers' and Farmers' Advocate"
John A. Haskell,Lancaster,MA,NA,Tailoress; apprentices,Massachusetts Spy,1834,Haskell,"Lancaster, MA",-71.67312358729984,42.45564598204586,"<b> John A. Haskell </b> <br> 1834 <br> Tailoress; apprentices <br> Lancaster, MA <br> Massachusetts Spy"
John Putney,Lowell,MA,Store,Tailor; tailoress,Lowell Patriot,1835,Putney,"Lowell, MA",-71.31617102020498,42.63342492080239,"<b> John Putney </b> <br> 1835 <br> Tailor; tailoress <br> Lowell, MA <br> Lowell Patriot"
T. Kimberley,Amherst,MA,NA,Tailoress; apprentices,Hampshire Gazette,1835,Kimberley,"Amherst, MA",-72.51985494030748,42.37322249640386,"<b> T. Kimberley </b> <br> 1835 <br> Tailoress; apprentices <br> Amherst, MA <br> Hampshire Gazette"
Mr. Hudson,Sturbridge,MA,Manufactory,Tailoress,Springfield Republican,1836,Hudson,"Sturbridge, MA",-72.07870825643327,42.108412484377304,"<b> Mr. Hudson </b> <br> 1836 <br> Tailoress <br> Sturbridge, MA <br> Springfield Republican"
E. Maria Parker,Barre,MA,NA,Milliner; Dressmaker,Barre Gazette,1839,Parker,"Barre, MA",-72.10510119127538,42.42290418054856,"<b> E. Maria Parker </b> <br> 1839 <br> Milliner; Dressmaker <br> Barre, MA <br> Barre Gazette"
A.W. Wait,Petersham,MA,NA,Tailor; apprentices,Barre Gazette,1839,Wait,"Petersham, MA",-72.18666912806863,42.483776054421234,"<b> A.W. Wait </b> <br> 1839 <br> Tailor; apprentices <br> Petersham, MA <br> Barre Gazette"
N. Dunham,Barre,MA,Store,Tailor; tailoress,Barre Gazette,1839,Dunham N,"Barre, MA",-72.10509560637641,42.422905243260836,"<b> N. Dunham </b> <br> 1839 <br> Tailor; tailoress <br> Barre, MA <br> Barre Gazette"
